N,P,K,temperature,humidity,ph,rainfall,label
103.2,5.9,46.0,25.23,87.86,6.12,47.24,watermelon
15.8,14.1,12.5,27.89,93.64,6.67,103.31,orange
66.3,53.5,49.8,25.6,94.25,5.34,296.33,rice
37.0,71.3,11.6,33.34,61.65,5.51,108.15,pigeonpeas
30.8,68.4,19.6,30.81,57.04,6.79,101.86,pigeonpeas
24.3,37.7,24.4,27.59,87.72,6.92,31.12,mungbean
39.1,75.0,20.7,25.93,65.68,5.72,50.76,lentil
29.7,15.3,11.3,15.35,90.31,7.07,106.59,orange
97.8,17.5,49.4,25.7,86.52,6.21,34.84,watermelon
32.8,64.3,18.8,24.55,64.83,7.04,66.18,blackgram
80.7,50.5,36.1,27.93,89.6,6.16,184.7,jute
19.5,20.2,34.2,28.54,45.76,6.69,90.02,mango
67.5,41.6,39.2,26.07,76.95,6.58,179.78,jute
82.0,36.7,45.9,23.81,81.32,7.57,188.88,jute
37.4,63.8,48.6,31.0,94.98,7.16,168.83,papaya
29.1,72.2,77.4,18.78,14.53,7.73,69.73,chickpea
57.0,60.8,77.2,17.78,18.03,6.49,79.54,chickpea
119.7,14.5,45.3,28.14,91.88,6.5,24.58,muskmelon
35.5,64.6,74.7,19.46,20.07,6.6,76.02,chickpea
70.3,40.3,47.0,24.0,80.26,5.56,245.59,rice
11.7,17.9,31.1,30.39,42.88,5.63,98.05,mango
69.1,38.1,45.8,23.26,85.29,7.06,220.78,rice
23.6,119.3,202.8,21.15,89.27,5.73,107.05,apple
32.2,53.3,83.3,21.02,16.26,6.49,68.18,chickpea
81.4,28.1,50.9,29.66,93.61,6.3,23.74,muskmelon
88.7,36.8,40.9,26.06,86.53,6.46,187.75,rice
25.3,21.1,35.4,22.66,90.72,6.94,102.61,pomegranate
16.4,12.5,38.6,18.51,90.71,6.03,119.07,pomegranate
26.5,29.0,34.1,19.6,92.73,7.19,114.61,pomegranate
109.7,9.0,44.6,29.89,89.11,6.67,16.61,muskmelon
100.0,85.5,46.2,28.01,75.98,6.31,100.19,banana
61.2,42.6,28.6,22.25,71.18,7.05,78.5,maize
114.3,46.3,23.1,24.98,76.37,6.54,98.84,cotton
63.6,55.8,47.8,22.13,93.46,6.46,242.05,rice
129.4,33.5,22.7,25.78,79.93,7.23,94.02,cotton
110.9,73.5,52.1,29.14,77.4,6.2,116.17,banana
13.5,133.2,200.4,21.61,95.56,6.08,118.38,apple
113.1,16.2,46.2,28.71,87.26,6.36,35.56,muskmelon
26.6,61.5,44.7,27.81,89.52,7.09,160.3,papaya
31.3,40.2,20.4,28.66,80.06,6.41,43.7,mungbean
102.5,59.6,19.9,22.27,76.39,6.96,80.2,cotton
121.0,34.9,19.1,23.81,82.42,5.98,93.91,cotton
101.7,8.7,49.0,25.28,82.05,6.92,36.72,watermelon
101.5,59.5,22.5,21.38,76.93,6.92,72.45,cotton
125.0,54.0,23.0,25.14,79.31,6.76,72.15,cotton
19.2,23.0,42.8,21.25,86.11,7.11,98.82,pomegranate
18.0,126.5,196.0,23.26,89.85,5.3,111.49,apple
117.4,39.0,21.5,24.61,79.56,6.22,92.8,cotton
30.7,124.6,198.9,21.5,92.57,5.76,108.46,apple
63.6,56.3,34.3,26.28,67.08,6.25,168.26,jute
89.1,28.6,54.2,29.75,90.9,6.68,34.08,muskmelon
83.8,44.5,18.4,24.78,56.89,6.9,70.8,maize
126.7,38.1,24.1,26.9,84.23,7.82,89.32,cotton
43.6,20.9,39.6,23.12,89.51,7.03,107.67,pomegranate
86.9,44.4,25.2,24.68,64.37,5.47,66.0,maize
33.6,5,32.5,31.33,96.49,6.3,202.9,coconut
17.6,23.0,31.8,27.9,97.43,6.31,169.48,coconut
94.9,6.0,47.1,25.82,89.62,6.44,44.52,watermelon
135.2,37.9,15.6,23.12,76.22,6.26,110.15,cotton
98.6,16.1,53.3,25.83,84.95,6.71,40.59,watermelon
71.9,48.0,48.9,27.22,93.68,5.82,273.06,rice
115.7,36.5,23.9,24.57,76.82,6.15,62.1,cotton
23.3,21.4,39.5,25.16,86.85,6.43,105.56,pomegranate
136.0,38.4,22.0,23.46,85.1,6.35,79.18,cotton
32.1,67.3,17.4,29.75,35.72,6.2,187.74,pigeonpeas
26.5,61.5,24.8,19.26,66.28,7.13,52.76,lentil
67.1,46.2,45.6,23.9,83.6,7.16,196.2,jute
12.9,69.2,23.7,16.11,26.39,5.81,122.27,kidneybeans
29.8,72.0,23.6,24.06,22.12,5.8,72.41,kidneybeans
110.8,10.5,58.2,25.87,82.33,6.51,55.74,watermelon
103.3,95.5,51.0,29.56,79.59,6.43,90.23,banana
49.0,71.2,19.4,32.81,63.49,7.58,66.61,blackgram
118.5,45.3,20.4,24.33,77.9,6.25,91.9,cotton
14.0,44.7,17.2,30.33,40.02,7.09,67.52,mothbeans
116.9,83.3,52.8,25.07,77.47,5.41,107.17,banana
54.0,75.1,21.5,28.19,60.75,7.51,71.1,blackgram
105.4,23.7,49.7,26.25,90.53,6.12,27.94,muskmelon
102.5,77.0,48.3,26.2,81.59,6.02,112.52,banana
32.3,12.6,6.7,14.95,91.05,6.17,107.44,orange
77.4,28.8,42.2,28.7,96.72,6.2,23.97,muskmelon
103.4,9.6,49.6,28.2,95.58,6.53,25.73,muskmelon
14.1,22.7,24.9,32.03,51.97,4.95,98.46,mango
12.3,59.0,17.2,37.3,32.83,6.96,176.34,pigeonpeas
13.9,25.2,7.5,17.92,95.82,5.99,109.2,orange
11.2,25.1,5,33.61,94.67,7.05,119.97,orange
23.9,71.3,15.8,31.81,54.08,7.44,116.61,pigeonpeas
68.9,61.7,35.6,20.48,89.31,5.16,241.15,rice
19.6,77.6,20.7,29.59,54.19,6.4,190.73,pigeonpeas
26.8,134.5,195.7,22.74,91.19,6.41,121.39,apple
36.2,70.1,14.5,25.91,63.72,7.19,69.68,blackgram
25.7,11.5,39.3,29.54,93.45,6.29,137.53,coconut
113.6,28.7,48.9,25.34,86.93,6.59,45.29,watermelon
36.8,73.8,19.2,33.09,54.37,7.09,102.49,pigeonpeas
35.4,71.8,22.5,17.31,20.82,5.93,140.58,kidneybeans
23.8,55.5,23.2,22.87,51.59,4.29,64.77,mothbeans
100.1,49.9,25.5,27.69,62.85,5.75,97.56,maize
98.1,77.1,48.3,27.23,82.68,6.36,106.89,banana
33.7,31.6,37.9,17.83,88.73,6.88,112.08,pomegranate
30.5,28.5,31.8,26.27,94.26,5.79,175.58,coconut
35.9,15.1,35.9,25.23,90.42,7.24,93.67,pomegranate
51.8,70.1,79.2,19.96,17.86,7.01,83.06,chickpea
45.1,56.2,49.3,41.74,90.75,6.6,231.8,papaya
38.2,57.3,16.8,27.78,64.23,7.39,62.33,blackgram
108.4,79.8,45.1,28.51,76.61,6.22,119.38,banana
13.5,65.9,19.2,18.15,21.13,5.46,70.16,kidneybeans
16.1,71.1,21.4,36.37,37.4,6.41,193.92,pigeonpeas
88.8,16.1,24.5,24.36,51.84,7.11,148.1,coffee
68.1,52.4,23.4,23.06,58.09,6.03,67.49,maize
21.8,14.2,31.4,28.09,100,6.59,139.2,coconut
97.1,36.4,31.2,23.38,60.55,6.31,172.28,coffee
55.7,78.2,19.6,24.39,69.38,6.97,80.51,blackgram
16.0,45.3,16.8,25.58,41.64,8.16,62.69,mothbeans
105.1,14.6,32.7,27.42,65.68,5.87,140.47,coffee
116.0,89.6,51.4,27.95,82.39,5.94,93.89,banana
60.5,76.2,19.6,29.3,66.45,7.17,58.35,blackgram
27.9,62.4,24.6,29.7,53.63,6.86,141.47,pigeonpeas
35.0,59.9,17.6,21.94,67.44,6.64,45.79,lentil
117.0,28.4,52.0,27.75,92.71,6.58,26.51,muskmelon
16.6,30.1,28.2,31.09,59.06,5.95,88.45,mango
31.9,83.0,19.6,28.92,62.65,7.61,75.48,blackgram
80.1,45.1,38.6,23.62,91.09,6.75,300.95,rice
104.6,35.9,17.4,21.03,82.58,6.94,88.45,cotton
48.0,70.0,78.5,22.19,20.74,8.01,77.69,chickpea
50.1,78.9,16.2,29.07,70.69,6.85,74.98,blackgram
35.1,67.0,45.8,39.47,94.01,6.84,189.34,papaya
30.2,22.1,11.4,31.13,91.8,6.96,106.31,orange
57.1,73.3,19.2,32.18,65.77,6.88,64.22,blackgram
19.9,8.4,8.5,28.19,91.42,7.63,110.23,orange
21.1,22.9,8.7,29.76,91.85,6.78,122.2,orange
96.5,35.7,28.8,25.48,55.13,6.8,130.08,coffee
89.1,31.1,30.8,23.95,62.4,7.6,142.8,coffee
63.8,47.1,43.6,25.8,88.22,6.15,197.32,rice
85.8,58.6,18.7,29.95,69.87,6.72,69.45,maize
36.7,16.5,40.9,24.51,94.47,6.56,119.32,pomegranate
69.4,39.2,39.9,23.97,75.33,6.89,163.79,jute
19.5,59.1,19.1,28.4,68.46,7.0,45.22,lentil
84.6,43.2,40.9,22.1,92.79,6.43,196.82,rice
28.7,31.6,25.9,33.17,47.16,4.68,93.01,mango
11.3,134.4,198.0,23.89,91.8,5.8,106.48,apple
19.8,7.0,28.6,26.6,99.82,5.83,131.59,coconut
19.4,13.9,34.4,27.43,100,6.31,178.78,coconut
72.0,45.2,38.9,23.74,95.72,5.72,276.54,rice
21.3,39.8,16.9,30.18,62.18,7.96,36.73,mothbeans
18.8,48.1,17.1,28.29,88.41,5.91,42.84,mungbean
28.8,63.3,19.4,30.56,31.81,4.82,99.86,pigeonpeas
23.3,28.1,29.5,35.14,46.71,6.38,105.38,mango
106.4,93.3,48.4,28.94,79.25,5.62,99.93,banana
18.8,59.5,22.1,19.66,19.77,5.63,64.6,kidneybeans
89.6,85.4,50.6,26.4,78.86,6.35,106.88,banana
30.5,74.6,26.5,34.35,63.02,6.98,73.16,blackgram
45.9,57.7,49.5,35.84,96.69,7.23,222.16,papaya
28.9,50.0,23.9,29.26,86.1,6.58,52.02,mungbean
68.8,35.8,37.5,26.82,94.23,5.72,261.86,rice
24.6,25.1,13.1,19.27,93.21,6.99,109.31,orange
14.0,141.6,194.1,22.73,95.76,5.53,123.64,apple
86.1,21.8,54.7,28.03,94.41,6.36,17.77,muskmelon
82.2,24.8,48.8,28.87,96.88,6.0,17.86,muskmelon
81.3,21.4,55.9,24.97,87.64,6.46,48.5,watermelon
116.0,20.2,49.4,26.28,81.36,6.63,57.12,watermelon
33.0,49.8,22.7,30.95,55.88,3.51,58.56,mothbeans
32.2,67.9,18.0,17.58,15.95,5.79,65.64,kidneybeans
98.9,79.3,55.2,26.68,82.7,6.63,81.25,banana
80.7,30.3,36.4,24.94,67.62,6.01,196.51,coffee
29.5,62.5,19.9,27.35,69.88,7.36,63.31,blackgram
30.5,23.3,12.3,20.71,91.72,7.94,115.63,orange
19.0,35.7,19.3,31.07,64.81,7.19,33.76,mothbeans
28.4,122.8,202.9,19.64,87.55,5.99,68.86,grapes
91.3,25.0,29.0,24.1,52.2,6.17,161.87,coffee
61.9,54.7,55.7,25.64,93.81,6.24,191.22,papaya
98.3,32.8,46.7,23.89,77.37,6.96,197.21,jute
16.3,144.3,194.7,22.14,91.74,6.16,112.37,apple
7.4,5,8.4,22.74,94.09,6.66,109.87,orange
104.1,26.1,49.4,26.53,86.92,6.83,47.18,watermelon
43.5,118.2,201.7,39.47,84.16,6.56,65.97,grapes
34.2,43.5,53.0,35.77,92.18,6.52,221.0,papaya
34.6,9.4,11.2,27.55,92.41,6.96,92.18,orange
18.8,56.4,26.4,24.79,63.39,6.85,58.12,lentil
75.0,35.6,40.5,28.06,89.42,6.27,194.35,rice
49.0,74.2,72.0,19.96,15.03,6.81,67.22,chickpea
25.5,143.6,206.5,20.84,86.63,6.53,74.18,grapes
103.5,7.0,45.1,24.39,84.83,6.95,54.72,watermelon
82.1,18.7,25.6,25.17,65.65,5.84,135.25,coffee
34.2,59.1,74.5,21.54,14.0,7.55,88.31,chickpea
32.3,27.5,25.3,27.84,94.5,6.07,223.75,coconut
103.1,23.3,47.8,26.11,82.07,6.8,52.54,watermelon
89.1,54.0,14.8,22.43,63.9,6.0,91.25,maize
25.7,78.2,21.7,34.07,60.09,6.62,60.1,blackgram
110.1,26.6,48.9,29.52,90.55,7.09,30.41,muskmelon
94.4,57.5,47.2,21.03,94.97,5.05,289.4,rice
11.7,26.3,36.1,33.61,49.19,5.92,86.24,mango
38.1,30.6,25.4,31.25,47.66,5.64,109.62,mango
118.5,23.6,25.9,27.65,55.17,6.31,189.83,coffee
26.3,25.6,42.4,23.21,91.27,6.22,100.04,pomegranate
63.2,56.2,23.5,27.71,58.77,6.51,55.81,maize
31.4,17.9,10.5,24.08,88.31,7.35,111.55,orange
19.4,58.1,20.5,28.96,88.0,6.92,46.44,mungbean
60.5,46.3,54.8,36.69,85.54,7.08,136.73,papaya
34.8,17.9,26.0,26.64,97.32,6.58,126.93,coconut
88.8,19.0,51.7,28.83,93.56,5.99,26.39,muskmelon
16.9,25.8,5.6,32.12,98.19,6.57,104.3,orange
81.5,25.1,27.2,25.58,63.96,6.1,127.28,coffee
66.2,57.9,52.1,33.48,94.52,6.75,215.23,papaya
65.2,51.3,42.8,20.93,85.78,6.2,284.87,rice
12.4,19.0,27.7,32.4,51.8,6.28,100.18,mango
42.6,57.6,48.2,34.87,93.54,6.95,215.51,papaya
111.7,77.2,46.6,28.57,75.69,6.2,88.86,banana
126.4,35.0,21.7,25.21,78.61,8.34,69.69,cotton
28.3,128.8,200.5,23.78,89.97,6.11,122.53,apple
97.7,57.8,34.4,23.78,81.27,7.28,186.91,rice
52.8,58.7,78.1,21.03,18.86,7.16,91.84,chickpea
98.2,39.8,47.4,25.56,82.16,6.79,173.93,rice
110.6,6.1,45.5,28.98,89.9,5.94,23.14,muskmelon
97.9,25.0,47.8,29.71,92.63,6.19,34.14,muskmelon
28.9,28.5,44.6,23.0,87.33,5.69,102.79,pomegranate
10.3,56.6,23.6,30.58,52.11,9.04,53.61,mothbeans
68.1,59.5,46.5,39.29,94.23,6.71,221.86,papaya
73.8,55.0,43.7,27.5,89.37,5.76,174.23,jute
98.2,9.5,52.5,26.23,84.63,6.24,44.82,watermelon
25.0,40.4,17.1,29.78,85.0,7.13,45.07,mungbean
96.2,44.8,42.8,23.76,92.2,6.75,244.17,rice
28.8,20.0,6.7,21.47,96.01,7.38,103.92,orange
34.4,57.8,47.2,41.49,90.84,6.72,172.36,papaya
59.8,57.5,88.1,20.13,23.17,7.55,70.2,chickpea
87.1,11.2,51.3,25.64,87.09,7.28,48.32,watermelon
41.9,66.7,82.6,20.64,11.46,6.81,67.21,chickpea
96.1,82.9,58.0,27.61,78.69,6.45,87.31,banana
22.6,13.4,24.7,28.49,93.81,5.84,215.82,coconut
75.2,51.7,18.8,26.56,67.71,6.35,100.0,maize
26.5,76.2,14.6,27.86,57.83,7.6,47.7,lentil
24.1,62.1,21.1,17.33,23.73,5.54,133.18,kidneybeans
32.2,16.0,10.2,33.01,91.49,5.73,104.83,orange
70.2,44.7,46.1,40.08,96.0,6.48,180.44,papaya
40.4,63.1,16.4,17.64,22.09,5.7,111.35,kidneybeans
93.2,50.4,22.4,20.87,74.52,5.36,92.47,maize
12.6,147.2,201.6,21.37,95.14,5.52,117.87,apple
71.6,56.2,49.6,30.06,92.13,6.66,200.61,papaya
120.2,46.9,21.5,21.1,81.91,6.78,88.0,cotton
24.0,51.0,18.7,29.16,84.04,6.49,38.38,mungbean
33.1,40.8,17.6,24.33,39.1,7.52,53.44,mothbeans
9.5,64.1,17.1,16.0,22.49,5.52,113.26,kidneybeans
89.4,17.6,51.8,27.17,94.98,6.25,26.01,muskmelon
29.9,52.0,27.5,26.88,58.74,6.63,56.99,mothbeans
23.6,140.5,200.1,20.46,95.38,5.21,114.9,apple
26.9,27.4,44.3,23.2,90.01,5.44,101.89,pomegranate
43.3,9.5,8.3,26.39,89.24,7.01,103.64,orange
24.2,128.6,201.1,19.98,81.25,6.31,54.37,grapes
49.7,70.1,16.0,27.57,68.56,7.44,79.22,blackgram
36.1,53.2,21.1,28.23,81.94,7.44,45.66,mungbean
31.9,53.8,50.3,38.08,94.86,6.88,218.68,papaya
10.7,133.1,203.3,24.35,83.74,6.14,79.34,grapes
9.8,24.5,24.8,32.84,46.84,6.47,102.94,mango
24.0,77.1,24.0,20.14,61.84,7.34,52.76,lentil
51.5,72.4,27.1,27.3,65.4,6.47,74.72,blackgram
33.9,19.4,10.8,30.82,97.99,7.26,113.81,orange
118.5,48.0,24.7,22.88,80.76,7.53,59.01,cotton
24.8,11.9,27.3,25.61,95.98,5.51,204.49,coconut
31.1,38.6,18.7,26.37,58.72,7.15,27.69,mothbeans
30.6,61.1,81.6,18.3,19.59,7.14,90.23,chickpea
65.3,36.5,49.5,26.9,84.34,5.47,196.6,rice
99.1,39.2,44.2,27.12,83.41,7.32,168.55,jute
134.2,62.1,21.8,25.78,85.31,6.92,84.95,cotton
100.2,47.4,22.0,25.16,80.54,6.79,66.45,cotton
13.4,46.5,23.7,29.27,85.01,6.59,47.64,mungbean
25.0,139.3,203.9,20.59,82.25,6.18,70.09,grapes
94.7,55.2,40.9,25.23,78.65,5.82,166.03,jute
91.1,20.4,46.2,28.33,97.8,6.07,34.04,muskmelon
119.9,69.1,44.6,23.83,79.76,6.36,108.15,banana
35.8,26.7,39.7,24.08,93.3,6.29,120.66,pomegranate
25.8,65.5,81.3,20.69,19.02,6.37,72.79,chickpea
28.5,50.3,56.9,46.04,93.01,6.65,238.09,papaya
82.1,42.9,34.0,27.75,63.93,7.17,154.36,coffee
92.2,18.5,45.1,28.92,91.28,6.53,31.27,muskmelon
33.8,56.6,81.9,17.75,14.53,7.17,96.28,chickpea
12.3,35.6,33.6,30.91,49.89,6.68,102.59,mango
112.9,39.9,32.5,24.32,60.58,7.06,157.12,coffee
23.3,59.0,22.5,30.88,51.44,4.64,31.85,mothbeans
19.7,67.1,20.6,17.77,16.73,6.24,100.13,kidneybeans
109.5,19.1,29.6,28.01,53.84,6.57,179.81,coffee
82.7,13.9,49.8,30.0,91.32,6.73,17.9,muskmelon
25.7,62.7,14.0,30.62,45.58,5.14,186.33,pigeonpeas
24.0,141.8,198.7,22.89,81.38,5.53,75.83,grapes
75.1,54.5,46.5,24.66,86.8,6.44,293.61,rice
20.0,39.0,23.5,27.74,87.49,6.99,42.06,mungbean
98.7,28.8,48.7,25.14,82.3,6.2,32.99,watermelon
28.9,5.6,27.4,25.97,96.59,5.45,130.6,coconut
21.5,138.6,198.9,21.78,83.22,6.36,53.94,grapes
20.1,55.6,21.8,37.49,56.83,6.87,101.36,pigeonpeas
13.7,119.7,199.4,21.39,90.99,5.72,95.84,apple
29.2,77.5,15.0,20.88,19.94,5.42,98.81,kidneybeans
73.6,45.4,37.9,25.19,74.52,6.42,191.91,jute
10.2,33.7,26.6,34.01,46.8,4.9,103.34,mango
77.4,35.1,32.3,23.11,63.17,7.02,181.82,coffee
138.3,37.6,12.7,24.46,74.42,7.24,85.03,cotton
112.9,24.8,44.1,30.13,94.97,6.93,20.49,muskmelon
40.7,57.7,18.5,21.0,66.52,6.82,51.49,lentil
84.7,49.8,46.2,25.52,79.76,6.2,170.4,jute
41.8,13.3,32.9,27.48,96.25,6.29,201.98,coconut
69.2,62.8,21.3,26.42,63.14,7.04,77.41,maize
19.6,123.7,195.6,22.23,93.23,5.73,119.9,apple
24.5,23.4,26.5,30.36,99.53,5.88,188.9,coconut
56.6,78.9,79.0,21.51,18.82,6.81,93.74,chickpea
36.0,48.1,53.1,23.08,90.59,6.38,185.41,papaya
28.7,144.2,202.8,24.86,81.11,5.99,58.66,grapes
102.4,89.6,47.4,29.27,76.54,5.57,99.38,banana
37.6,16.4,27.5,28.28,96.61,6.01,205.67,coconut
66.9,53.2,55.3,23.82,90.55,7.17,246.48,papaya
28.9,36.8,35.5,30.56,50.88,6.08,110.01,mango
19.5,124.1,203.0,21.31,90.98,6.27,104.68,apple
32.7,16.2,30.0,27.49,96.95,5.63,163.26,coconut
29.7,45.6,21.0,28.43,89.37,6.85,39.78,mungbean
69.7,48.1,22.4,27.64,79.49,6.41,60.67,maize
99.7,86.6,49.6,23.78,79.79,5.66,75.36,banana
25.5,47.2,15.1,27.1,83.68,6.28,51.57,mungbean
72.5,36.0,35.3,25.48,85.64,5.9,193.67,jute
26.5,52.1,22.7,26.99,79.12,6.73,49.77,mungbean
41.1,137.5,197.6,23.04,88.96,6.38,109.4,apple
22.4,20.2,12.9,26.58,94.92,7.3,105.7,orange
119.6,41.8,23.1,21.94,83.27,6.46,92.07,cotton
49.0,64.6,57.6,30.25,90.13,6.69,203.59,papaya
25.7,12.4,25.0,24.14,95.52,5.73,161.84,coconut
100.3,33.2,26.6,23.73,58.76,6.44,143.97,coffee
106.3,49.3,17.9,22.21,73.65,6.4,95.6,cotton
88.5,50.1,41.5,28.32,78.79,7.82,203.57,rice
33.8,22.9,5.8,21.02,92.91,6.53,112.78,orange
29.4,129.8,204.3,22.64,93.06,6.38,114.14,apple
86.0,26.9,52.2,28.19,93.5,6.51,28.07,muskmelon
15.3,14.0,33.6,26.59,95.69,6.2,131.82,coconut
16.9,21.0,43.3,20.44,83.28,6.31,98.87,pomegranate
99.5,24.5,35.9,27.28,60.35,7.34,191.49,coffee
58.0,57.2,14.1,34.57,68.13,7.51,67.2,blackgram
31.6,57.5,19.0,26.53,60.16,7.54,89.6,mothbeans
